Unnamed: 0,Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,Performance_bin,Language Spoken
0,7,99,1,9,1,91,9,Santhali
1,4,82,0,4,2,65,7,Bodo
2,8,51,1,7,2,45,4,Malayalam
3,5,52,1,5,2,36,3,Mizo
4,7,75,0,8,5,66,7,Malayalam
5,3,78,0,9,6,61,6,Maithili
6,7,73,1,5,6,63,6,Garo
7,8,45,1,4,6,42,4,Tamil
8,5,77,0,8,2,61,6,Bodo
9,4,89,0,4,0,69,7,Punjabi
10,8,91,0,4,5,84,9,Tamil
11,8,79,0,6,2,73,7,Bhili
12,3,47,0,9,2,27,2,Mizo
13,6,47,0,4,2,33,3,Assamese
14,5,79,0,7,8,68,7,Urdu
15,2,72,0,4,3,43,4,Telugu
16,8,73,1,8,4,67,7,Chhattisgarhi
17,6,83,1,7,2,70,7,Gujarati
18,2,54,1,4,9,30,3,Odia
19,5,75,0,7,0,63,6,Maithili
20,1,99,1,4,3,71,7,Bhili
21,6,96,0,9,0,85,9,Chhattisgarhi
22,9,74,1,7,6,73,7,Mizo
23,1,85,0,5,6,57,6,Chhattisgarhi
24,3,61,0,6,3,35,3,Punjabi
25,7,62,1,7,4,49,5,Maithili
26,4,79,0,8,9,66,7,Odia
27,9,84,1,6,6,83,9,Assamese
28,3,94,1,6,5,74,8,Kannada
29,5,90,1,4,3,74,8,Mizo
30,3,61,1,7,3,39,4,Garo
31,7,44,1,9,1,36,3,Kashmiri
32,5,70,1,6,9,58,6,Mizo
33,9,52,1,8,1,47,5,Telugu
34,7,67,1,9,3,60,6,Odia
35,2,97,1,9,4,74,8,Manipuri
36,4,59,0,8,3,42,4,Kashmiri
37,9,72,0,8,2,68,7,Meitei
38,2,55,1,4,1,32,3,Maithili
39,9,68,0,5,3,64,6,Mizo
40,5,62,0,7,4,45,4,Santhali
41,2,63,1,6,0,39,4,Manipuri
42,4,73,1,7,0,58,6,Nepali
43,7,46,0,9,5,36,3,Urdu
44,8,77,1,6,4,71,7,Gujarati
45,3,76,1,4,3,54,5,Odia
46,1,43,1,7,0,17,1,Meitei
47,4,73,0,4,6,54,5,Gujarati
48,2,81,1,4,3,58,6,Tulu
49,8,61,0,7,2,53,5,Meitei
50,4,44,1,7,6,27,2,Punjabi
51,2,89,1,6,1,65,7,Urdu
52,6,81,0,9,9,75,8,Tulu
53,6,62,1,9,0,52,5,Telugu
54,4,93,0,8,3,78,8,Hindi
55,6,99,0,4,7,91,9,Chhattisgarhi
56,2,54,1,9,5,33,3,Bodo
57,2,70,1,5,8,47,5,Tulu
58,4,98,0,6,0,78,8,Marathi
59,8,48,0,6,0,38,4,Nepali
60,7,82,1,8,4,70,7,Bodo
61,9,97,1,8,5,98,10,Hindi
62,8,92,1,4,7,87,9,Telugu
63,5,64,1,6,2,49,5,Bengali
64,2,64,1,6,5,41,4,Sanskrit
65,5,88,0,5,2,71,7,Marathi
66,8,60,0,4,7,54,5,Santhali
67,9,48,0,4,3,42,4,Santali
68,9,94,0,9,1,91,9,Malayalam
69,1,87,1,8,8,61,6,English
70,9,77,0,9,9,74,8,Garo
71,7,61,1,4,7,54,5,Santhali
72,9,82,1,5,5,81,8,Bengali
73,8,62,1,4,2,52,5,English
74,1,88,1,9,1,65,7,Malayalam
75,8,43,1,7,3,36,3,Bodo
76,8,68,0,7,3,61,6,Gujarati
77,3,54,1,5,0,35,3,Punjabi
78,1,40,1,8,8,15,1,Chhattisgarhi
79,8,93,1,6,9,88,9,Bodo
80,3,69,0,4,7,45,4,Tamil
81,3,68,1,9,6,49,5,Tamil
82,1,59,1,8,5,33,3,Konkani
83,5,72,1,9,2,60,6,Tulu
84,7,80,0,8,3,71,7,Telugu
85,9,83,1,4,1,81,8,Urdu
86,7,75,0,6,6,67,7,Garo
87,9,99,0,4,1,95,10,Konkani
88,8,61,1,6,9,58,6,Dogri
89,2,52,0,9,0,29,3,Maithili
90,1,46,0,5,5,21,2,Tamil
91,7,47,1,6,3,38,4,Sanskrit
92,7,67,1,8,7,60,6,Dogri
93,8,84,1,5,0,76,8,Maithili
94,5,82,1,9,8,69,7,Sindhi
95,3,48,0,7,5,30,3,Bodo
96,8,64,0,5,1,57,6,Marathi
97,6,95,1,6,7,81,8,Bhili
98,3,55,1,5,4,36,3,Santhali
99,1,49,1,9,4,25,2,Bhili
100,3,50,0,5,4,27,2,Konkani
101,5,70,1,9,6,61,6,Nepali
102,3,51,0,7,6,34,3,Gujarati
103,1,99,0,6,9,76,8,Malayalam
104,5,70,0,8,6,57,6,Punjabi
105,7,53,0,5,9,45,4,Chhattisgarhi
106,7,90,1,4,1,76,8,Tulu
107,9,83,1,8,7,83,9,Bhili
108,3,71,1,5,0,50,5,Punjabi
109,7,89,0,8,1,81,8,Santhali
110,1,92,0,4,6,66,7,Marathi
111,4,56,1,8,3,38,4,Bodo
112,4,74,0,8,9,56,6,Bengali
113,5,40,0,4,9,25,2,Bengali
114,7,68,0,4,8,56,6,Kannada
115,7,90,1,4,8,82,8,Mizo
116,4,43,1,7,2,23,2,Santali
117,7,62,1,9,2,56,6,Bodo
118,3,67,0,9,8,46,4,Garo
119,6,55,1,4,9,43,4,Khasi
120,2,51,1,9,7,30,3,Khasi
121,9,92,1,8,0,92,10,Bhili
122,5,60,0,4,5,45,4,Marathi
123,6,84,0,5,6,70,7,Hindi
124,4,56,0,4,7,36,3,Chhattisgarhi
125,7,79,0,4,1,71,7,Hindi
126,9,52,0,9,0,49,5,Kashmiri
127,7,91,1,6,3,82,8,Tulu
128,1,97,1,8,0,71,7,Santali
129,1,71,0,9,1,43,4,Meitei
130,9,76,0,8,2,77,8,Tulu
131,9,89,1,5,3,86,9,Garo
132,4,54,0,7,5,34,3,Kashmiri
133,9,51,0,6,7,49,5,Odia
134,3,88,0,5,8,69,7,Dogri
135,7,96,0,5,3,84,9,Meitei
136,6,54,0,8,0,41,4,Dogri
137,8,73,1,6,4,68,7,Bhili
138,9,45,1,8,4,44,4,Telugu
139,5,56,0,7,8,41,4,Bodo
140,1,87,0,8,5,58,6,Odia
141,3,88,1,4,4,68,7,Garo
142,8,96,0,8,9,94,10,Telugu
143,6,59,1,4,9,47,5,Punjabi
144,8,48,0,5,4,40,4,Sanskrit
145,9,98,1,7,7,100,10,Santali
146,4,44,1,9,0,23,2,Kashmiri
147,1,62,0,4,4,36,3,Hindi
148,1,72,0,7,0,47,5,Bhili
149,4,77,1,8,6,60,6,Tamil
150,7,95,0,9,6,83,9,Bengali
151,2,53,1,8,9,33,3,Bodo
152,3,56,0,5,7,36,3,Malayalam
153,1,96,0,8,6,74,8,Sanskrit
154,5,58,0,4,8,42,4,Manipuri
155,1,72,1,5,7,47,5,Manipuri
156,8,40,1,7,7,31,3,Meitei
157,1,52,0,5,2,26,2,Bodo
158,1,85,1,7,9,58,6,Manipuri
159,2,66,0,6,3,42,4,Bodo
160,2,45,1,4,3,18,1,Maithili
161,6,98,0,4,0,85,9,Hindi
162,7,45,1,7,5,36,3,Urdu
163,5,72,1,8,1,58,6,Telugu
164,1,69,1,9,8,45,4,Marathi
165,1,85,1,8,0,60,6,Bhili
166,3,74,1,6,0,56,6,Kashmiri
167,2,62,1,7,9,42,4,Chhattisgarhi
168,5,49,0,6,5,33,3,Hindi
169,6,90,0,7,0,77,8,Bodo
170,7,58,1,6,2,51,5,Tamil
171,4,90,0,7,9,72,7,Konkani
172,7,67,1,4,1,57,6,Hindi
173,8,62,0,6,8,53,5,Maithili
174,1,43,0,6,4,16,1,Kashmiri
175,6,59,0,7,5,45,4,Marathi
176,8,58,0,5,1,49,5,Santhali
177,5,81,1,5,7,67,7,Urdu
178,4,66,0,4,5,49,5,Kannada
179,2,96,0,8,7,73,7,Mizo
180,6,73,0,8,7,65,7,Khasi
181,6,43,1,4,0,27,2,Bengali
182,1,95,0,8,6,72,7,Chhattisgarhi
183,9,77,1,9,1,74,8,Dogri
184,6,46,1,9,7,38,4,Tamil
185,3,87,0,9,1,67,7,Maithili
186,4,46,1,9,3,28,2,Bengali
187,4,89,0,7,1,73,7,English
188,3,91,0,5,6,72,7,Meitei
189,3,65,0,4,4,42,4,Bodo
190,3,65,0,7,8,47,5,Santali
191,4,93,0,9,4,77,8,Konkani
192,7,58,0,4,7,49,5,Assamese
193,4,48,0,5,1,30,3,English
194,9,59,1,8,2,54,5,Punjabi
195,1,81,1,7,5,56,6,Maithili
196,8,84,0,5,6,75,8,Sindhi
197,7,89,0,4,9,78,8,Kashmiri
198,2,55,1,6,7,32,3,Tamil
199,8,93,0,7,2,89,9,Marathi
200,1,56,1,4,6,29,3,Hindi
201,9,61,1,4,7,57,6,Punjabi
202,9,52,0,5,9,48,5,Assamese
203,2,51,0,4,5,27,2,Sanskrit
204,7,49,1,7,3,38,4,Chhattisgarhi
205,3,40,1,9,5,18,1,Urdu
206,7,71,0,7,8,66,7,Marathi
207,9,69,0,4,2,65,7,Kannada
208,4,47,1,5,1,27,2,Sanskrit
209,1,60,1,7,4,33,3,Manipuri
210,2,61,1,6,6,37,3,Nepali
211,1,57,0,9,2,29,3,Kannada
212,5,41,0,8,4,26,2,Bodo
213,5,87,0,5,3,72,7,Konkani
214,7,83,1,5,6,77,8,Punjabi
215,9,48,1,8,1,45,4,Tulu
216,9,42,0,8,6,41,4,Gujarati
217,3,93,1,7,1,73,7,Nepali
218,3,65,1,4,2,43,4,Tulu
219,3,60,1,4,4,39,4,Santhali
220,4,69,1,6,6,54,5,Santhali
221,8,67,1,9,5,62,6,Hindi
222,6,75,0,4,6,63,6,Kannada
223,8,65,0,6,5,59,6,Santhali
224,1,73,0,6,0,46,4,Urdu
225,8,47,0,5,4,42,4,Khasi
226,4,49,0,5,0,30,3,Khasi
227,1,87,1,9,6,63,6,Kannada
228,8,94,1,7,3,89,9,Hindi
229,4,82,1,8,4,62,6,Maithili
230,6,89,0,8,0,77,8,Tulu
231,8,93,1,9,7,88,9,Nepali
232,4,53,1,6,3,35,3,Punjabi
233,3,79,1,9,2,60,6,Manipuri
234,9,94,0,8,0,92,10,Malayalam
235,3,54,1,6,3,38,4,Santali
236,9,56,1,8,2,56,6,Gujarati
237,2,92,0,7,7,70,7,Bengali
238,2,57,0,5,8,35,3,Telugu
239,2,71,1,5,4,47,5,Nepali
240,6,77,0,6,8,66,7,Garo
241,3,62,1,9,0,43,4,English
242,9,85,0,8,6,81,8,Bhili
243,4,62,1,4,6,43,4,Kannada
244,1,74,1,7,5,46,4,Manipuri
245,4,78,0,8,3,61,6,Bengali
246,1,54,0,4,8,27,2,Urdu
247,5,92,0,7,2,77,8,Hindi
248,4,63,0,7,0,43,4,Garo
249,8,67,1,5,1,60,6,Bengali
250,8,55,0,6,2,48,5,Tamil
251,7,55,1,8,1,47,5,Dogri
252,3,79,1,7,5,60,6,Assamese
253,1,78,1,8,6,53,5,Telugu
254,1,45,0,7,4,19,1,Gujarati
255,3,41,1,9,4,23,2,Bhili
256,6,93,1,5,6,81,8,Kannada
257,7,52,0,6,5,41,4,Meitei
258,6,83,1,4,7,71,7,Urdu
259,6,86,1,4,8,75,8,Urdu
260,6,98,1,9,1,89,9,Kashmiri
261,3,48,0,5,1,28,2,Urdu
262,6,73,1,7,0,60,6,Maithili
263,8,56,1,5,6,54,5,Bhili
264,2,66,1,6,3,41,4,Tulu
265,5,68,0,4,8,52,5,Tamil
266,1,76,0,8,5,53,5,Hindi
267,1,82,0,4,6,52,5,Nepali
268,5,61,1,6,6,47,5,Manipuri
269,3,90,1,7,7,71,7,Odia
270,4,63,1,5,3,42,4,Chhattisgarhi
271,3,46,1,4,2,21,2,Marathi
272,1,73,1,4,2,48,5,Santali
273,1,87,0,8,9,64,6,Santhali
274,5,51,1,5,7,38,4,Bengali
275,6,62,1,8,2,49,5,Chhattisgarhi
276,3,54,0,8,7,35,3,Dogri
277,9,72,0,7,1,73,7,Telugu
278,5,96,1,4,4,81,8,Odia
279,8,52,0,9,4,47,5,Bhili
280,1,62,0,5,6,36,3,Manipuri
281,5,77,0,7,4,63,6,Telugu
282,3,71,1,9,8,52,5,Khasi
283,1,84,0,7,2,58,6,Bhili
284,4,89,1,7,8,77,8,Hindi
285,5,74,0,6,0,58,6,Sindhi
286,7,40,1,6,2,33,3,Odia
287,1,86,1,7,3,67,7,Punjabi
288,3,97,1,6,5,76,8,Bengali
289,2,84,0,5,9,62,6,Assamese
290,9,44,0,4,7,37,3,Santali
291,6,96,0,9,6,86,9,Tamil
292,3,52,1,5,7,37,3,Kashmiri
293,8,93,0,4,5,88,9,Telugu
294,8,44,0,6,5,38,4,Nepali
295,2,99,1,9,5,76,8,Santali
296,6,71,0,5,2,57,6,Chhattisgarhi
