,Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,Performance_bin
0,7,99,1,9,1,91,9
1,4,82,0,4,2,65,7
2,8,51,1,7,2,45,4
3,5,52,1,5,2,36,3
4,7,75,0,8,5,66,7
5,3,78,0,9,6,61,6
6,7,73,1,5,6,63,6
7,8,45,1,4,6,42,4
8,5,77,0,8,2,61,6
9,4,89,0,4,0,69,7
10,8,91,0,4,5,84,9
11,8,79,0,6,2,73,7
12,3,47,0,9,2,27,2
13,6,47,0,4,2,33,3
14,5,79,0,7,8,68,7
15,2,72,0,4,3,43,4
16,8,73,1,8,4,67,7
17,6,83,1,7,2,70,7
18,2,54,1,4,9,30,3
19,5,75,0,7,0,63,6
20,1,99,1,4,3,71,7
21,6,96,0,9,0,85,9
22,9,74,1,7,6,73,7
23,1,85,0,5,6,57,6
24,3,61,0,6,3,35,3
25,7,62,1,7,4,49,5
26,4,79,0,8,9,66,7
27,9,84,1,6,6,83,9
28,3,94,1,6,5,74,8
29,5,90,1,4,3,74,8
30,3,61,1,7,3,39,4
31,7,44,1,9,1,36,3
32,5,70,1,6,9,58,6
33,9,52,1,8,1,47,5
34,7,67,1,9,3,60,6
35,2,97,1,9,4,74,8
36,4,59,0,8,3,42,4
37,9,72,0,8,2,68,7
38,2,55,1,4,1,32,3
39,9,68,0,5,3,64,6
40,5,62,0,7,4,45,4
41,2,63,1,6,0,39,4
42,4,73,1,7,0,58,6
43,7,46,0,9,5,36,3
44,8,77,1,6,4,71,7
45,3,76,1,4,3,54,5
46,1,43,1,7,0,17,1
47,4,73,0,4,6,54,5
48,2,81,1,4,3,58,6
49,8,61,0,7,2,53,5
50,4,44,1,7,6,27,2
51,2,89,1,6,1,65,7
52,6,81,0,9,9,75,8
53,6,62,1,9,0,52,5
54,4,93,0,8,3,78,8
55,6,99,0,4,7,91,9
56,2,54,1,9,5,33,3
57,2,70,1,5,8,47,5
58,4,98,0,6,0,78,8
59,8,48,0,6,0,38,4
60,7,82,1,8,4,70,7
61,9,97,1,8,5,98,10
62,8,92,1,4,7,87,9
63,5,64,1,6,2,49,5
64,2,64,1,6,5,41,4
65,5,88,0,5,2,71,7
66,8,60,0,4,7,54,5
67,9,48,0,4,3,42,4
68,9,94,0,9,1,91,9
69,1,87,1,8,8,61,6
70,9,77,0,9,9,74,8
71,7,61,1,4,7,54,5
72,9,82,1,5,5,81,8
73,8,62,1,4,2,52,5
74,1,88,1,9,1,65,7
75,8,43,1,7,3,36,3
76,8,68,0,7,3,61,6
77,3,54,1,5,0,35,3
78,1,40,1,8,8,15,1
79,8,93,1,6,9,88,9
80,3,69,0,4,7,45,4
81,3,68,1,9,6,49,5
82,1,59,1,8,5,33,3
83,5,72,1,9,2,60,6
84,7,80,0,8,3,71,7
