Previous Scores,Hours Studied,Sample Question Papers Practiced,Sleep Hours,Performance_bin,Extracurricular Activities,Previous Scores_scaled
99,7,1,9,9,1,10.0
82,4,2,4,7,0,7.11864406779661
51,8,2,7,4,1,1.8644067796610169
52,5,2,5,3,1,2.0338983050847457
75,7,5,8,7,0,5.932203389830509
78,3,6,9,6,0,6.440677966101695
73,7,6,5,6,1,5.593220338983051
45,8,6,4,4,1,0.847457627118644
77,5,2,8,6,0,6.271186440677966
89,4,0,4,7,0,8.305084745762711
91,8,5,4,9,0,8.64406779661017
79,8,2,6,7,0,6.610169491525424
47,3,2,9,2,0,1.1864406779661016
47,6,2,4,3,0,1.1864406779661016
79,5,8,7,7,0,6.610169491525424
72,2,3,4,4,0,5.423728813559322
73,8,4,8,7,1,5.593220338983051
83,6,2,7,7,1,7.288135593220339
54,2,9,4,3,1,2.3728813559322033
75,5,0,7,6,0,5.932203389830509
99,1,3,4,7,1,10.0
96,6,0,9,9,0,9.491525423728813
74,9,6,7,7,1,5.762711864406779
85,1,6,5,6,0,7.627118644067797
61,3,3,6,3,0,3.559322033898305
62,7,4,7,5,1,3.7288135593220337
79,4,9,8,7,0,6.610169491525424
84,9,6,6,9,1,7.4576271186440675
94,3,5,6,8,1,9.152542372881356
90,5,3,4,8,1,8.474576271186441
61,3,3,7,4,1,3.559322033898305
44,7,1,9,3,1,0.6779661016949152
70,5,9,6,6,1,5.084745762711864
52,9,1,8,5,1,2.0338983050847457
67,7,3,9,6,1,4.576271186440678
97,2,4,9,8,1,9.661016949152541
59,4,3,8,4,0,3.2203389830508473
72,9,2,8,7,0,5.423728813559322
55,2,1,4,3,1,2.542372881355932
68,9,3,5,6,0,4.745762711864407
62,5,4,7,4,0,3.7288135593220337
63,2,0,6,4,1,3.8983050847457625
73,4,0,7,6,1,5.593220338983051
46,7,5,9,3,0,1.0169491525423728
77,8,4,6,7,1,6.271186440677966
76,3,3,4,5,1,6.101694915254237
43,1,0,7,1,1,0.5084745762711864
73,4,6,4,5,0,5.593220338983051
81,2,3,4,6,1,6.9491525423728815
61,8,2,7,5,0,3.559322033898305
44,4,6,7,2,1,0.6779661016949152
89,2,1,6,7,1,8.305084745762711
81,6,9,9,8,0,6.9491525423728815
62,6,0,9,5,1,3.7288135593220337
93,4,3,8,8,0,8.983050847457626
99,6,7,4,9,0,10.0
54,2,5,9,3,1,2.3728813559322033
70,2,8,5,5,1,5.084745762711864
98,4,0,6,8,0,9.830508474576272
48,8,0,6,4,0,1.3559322033898304
82,7,4,8,7,1,7.11864406779661
97,9,5,8,10,1,9.661016949152541
92,8,7,4,9,1,8.813559322033898
64,5,2,6,5,1,4.067796610169491
64,2,5,6,4,1,4.067796610169491
88,5,2,5,7,0,8.135593220338983
60,8,7,4,5,0,3.389830508474576
48,9,3,4,4,0,1.3559322033898304
94,9,1,9,9,0,9.152542372881356
87,1,8,8,6,1,7.966101694915254
77,9,9,9,8,0,6.271186440677966
61,7,7,4,5,1,3.559322033898305
82,9,5,5,8,1,7.11864406779661
62,8,2,4,5,1,3.7288135593220337
88,1,1,9,7,1,8.135593220338983
43,8,3,7,3,1,0.5084745762711864
68,8,3,7,6,0,4.745762711864407
54,3,0,5,3,1,2.3728813559322033
40,1,8,8,1,1,0.0
93,8,9,6,9,1,8.983050847457626
69,3,7,4,4,0,4.915254237288136
68,3,6,9,5,1,4.745762711864407
59,1,5,8,3,1,3.2203389830508473
72,5,2,9,6,1,5.423728813559322
80,7,3,8,7,0,6.779661016949152
83,9,1,4,8,1,7.288135593220339
75,7,6,6,7,0,5.932203389830509
99,9,1,4,10,0,10.0
61,8,9,6,6,1,3.559322033898305
52,2,0,9,3,0,2.0338983050847457
46,1,5,5,2,0,1.0169491525423728
47,7,3,6,4,1,1.1864406779661016
67,7,7,8,6,1,4.576271186440678
84,8,0,5,8,1,7.4576271186440675
82,5,8,9,7,1,7.11864406779661
48,3,5,7,3,0,1.3559322033898304
64,8,1,5,6,0,4.067796610169491
95,6,7,6,8,1,9.322033898305085
55,3,4,5,3,1,2.542372881355932
49,1,4,9,2,1,1.5254237288135593
50,3,4,5,2,0,1.694915254237288
70,5,6,9,6,1,5.084745762711864
51,3,6,7,3,0,1.8644067796610169
99,1,9,6,8,0,10.0
70,5,6,8,6,0,5.084745762711864
53,7,9,5,4,0,2.2033898305084745
90,7,1,4,8,1,8.474576271186441
83,9,7,8,9,1,7.288135593220339
71,3,0,5,5,1,5.254237288135593
89,7,1,8,8,0,8.305084745762711
92,1,6,4,7,0,8.813559322033898
56,4,3,8,4,1,2.711864406779661
74,4,9,8,6,0,5.762711864406779
40,5,9,4,2,0,0.0
68,7,8,4,6,0,4.745762711864407
90,7,8,4,8,1,8.474576271186441
43,4,2,7,2,1,0.5084745762711864
62,7,2,9,6,1,3.7288135593220337
67,3,8,9,4,0,4.576271186440678
55,6,9,4,4,1,2.542372881355932
51,2,7,9,3,1,1.8644067796610169
92,9,0,8,10,1,8.813559322033898
60,5,5,4,4,0,3.389830508474576
84,6,6,5,7,0,7.4576271186440675
56,4,7,4,3,0,2.711864406779661
79,7,1,4,7,0,6.610169491525424
52,9,0,9,5,0,2.0338983050847457
91,7,3,6,8,1,8.64406779661017
97,1,0,8,7,1,9.661016949152541
71,1,1,9,4,0,5.254237288135593
76,9,2,8,8,0,6.101694915254237
89,9,3,5,9,1,8.305084745762711
54,4,5,7,3,0,2.3728813559322033
51,9,7,6,5,0,1.8644067796610169
88,3,8,5,7,0,8.135593220338983
96,7,3,5,9,0,9.491525423728813
54,6,0,8,4,0,2.3728813559322033
73,8,4,6,7,1,5.593220338983051
45,9,4,8,4,1,0.847457627118644
56,5,8,7,4,0,2.711864406779661
87,1,5,8,6,0,7.966101694915254
88,3,4,4,7,1,8.135593220338983
96,8,9,8,10,0,9.491525423728813
59,6,9,4,5,1,3.2203389830508473
48,8,4,5,4,0,1.3559322033898304
98,9,7,7,10,1,9.830508474576272
44,4,0,9,2,1,0.6779661016949152
62,1,4,4,3,0,3.7288135593220337
72,1,0,7,5,0,5.423728813559322
77,4,6,8,6,1,6.271186440677966
95,7,6,9,9,0,9.322033898305085
53,2,9,8,3,1,2.2033898305084745
56,3,7,5,3,0,2.711864406779661
96,1,6,8,8,0,9.491525423728813
58,5,8,4,4,0,3.0508474576271185
72,1,7,5,5,1,5.423728813559322
40,8,7,7,3,1,0.0
